# Element-by-element rates at equilibrium at full current
           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
      21.80000   -2.5956E-32   -9.2108E-40   -2.5087E-36
      21.90000   -2.5914E-32   -9.5553E-40   -2.5049E-36
      22.00000   -2.5864E-32   -9.9156E-40   -2.5005E-36
      22.10000   -2.5808E-32   -1.0292E-39   -2.4956E-36
      22.20000   -2.5745E-32   -1.0685E-39   -2.4900E-36
      22.30000   -2.5676E-32   -1.1094E-39   -2.4840E-36
      22.40000   -2.5601E-32   -1.1521E-39   -2.4775E-36
      22.50000   -2.5521E-32   -1.1965E-39   -2.4706E-36
      22.60000   -2.5435E-32   -1.2426E-39   -2.4632E-36
      22.70000   -2.5345E-32   -1.2905E-39   -2.4555E-36
      22.80000   -2.5250E-32   -1.3402E-39   -2.4474E-36
      22.90000   -2.5151E-32   -1.3918E-39   -2.4391E-36
      23.00000   -2.5048E-32   -1.4453E-39   -2.4305E-36
      23.10000   -2.4941E-32   -1.5006E-39   -2.4217E-36
      23.20000   -2.4831E-32   -1.5579E-39   -2.4126E-36
      23.30000   -2.4719E-32   -1.6172E-39   -2.4034E-36
      23.40000   -2.4603E-32   -1.6785E-39   -2.3941E-36
      23.50000   -2.4486E-32   -1.7419E-39   -2.3847E-36
      23.60000   -2.4366E-32   -1.8073E-39   -2.3752E-36
      23.70000   -2.4244E-32   -1.8748E-39   -2.3656E-36
      23.80000   -2.4121E-32   -1.9445E-39   -2.3561E-36
      23.90000   -2.3997E-32   -2.0164E-39   -2.3465E-36
      24.00000   -2.3871E-32   -2.0906E-39   -2.3369E-36
      24.10000   -2.3745E-32   -2.1670E-39   -2.3274E-36
      24.20000   -2.3619E-32   -2.2458E-39   -2.3179E-36
      24.30000   -2.3511E-32   -2.3267E-39   -2.3074E-36
      24.40000   -2.3405E-32   -2.4100E-39   -2.2969E-36
      24.50000   -2.3297E-32   -2.4958E-39   -2.2866E-36
      24.60000   -2.3168E-32   -2.5846E-39   -2.2778E-36
      24.70000   -2.3040E-32   -2.6761E-39   -2.2692E-36
      24.80000   -2.2912E-32   -2.7703E-39   -2.2607E-36
      24.90000   -2.2784E-32   -2.8673E-39   -2.2524E-36
      25.00000   -2.2657E-32   -2.9671E-39   -2.2443E-36
      25.10000   -2.2530E-32   -3.0699E-39   -2.2364E-36
      25.20000   -2.2405E-32   -3.1757E-39   -2.2288E-36
      25.30000   -2.2280E-32   -3.2846E-39   -2.2214E-36
      25.40000   -2.2157E-32   -3.3967E-39   -2.2143E-36
      25.50000   -2.2035E-32   -3.5122E-39   -2.2075E-36
      25.60000   -2.1914E-32   -3.6311E-39   -2.2010E-36
      25.70000   -2.1795E-32   -3.7535E-39   -2.1947E-36
      25.80000   -2.1678E-32   -3.8797E-39   -2.1888E-36
      25.90000   -2.1562E-32   -4.0096E-39   -2.1832E-36
      26.00000   -2.1448E-32   -4.1436E-39   -2.1780E-36
      26.10000   -2.1336E-32   -4.2817E-39   -2.1731E-36
      26.20000   -2.1225E-32   -4.4241E-39   -2.1686E-36
      26.30000   -2.1118E-32   -4.5710E-39   -2.1645E-36
      26.40000   -2.1012E-32   -4.7227E-39   -2.1608E-36
      26.50000   -2.0909E-32   -4.8792E-39   -2.1575E-36
      26.60000   -2.0808E-32   -5.0410E-39   -2.1547E-36
      26.70000   -2.0710E-32   -5.2083E-39   -2.1523E-36
      26.80000   -2.0615E-32   -5.3813E-39   -2.1505E-36
      26.90000   -2.0523E-32   -5.5604E-39   -2.1491E-36
      27.00000   -2.0473E-32   -5.7410E-39   -2.1455E-36
