           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
      17.30000   -2.3994E-31   -1.0739E-37   -4.8035E-35
      17.40000   -2.4164E-31   -1.0790E-37   -4.8206E-35
      17.50000   -2.4336E-31   -1.0839E-37   -4.8379E-35
      17.60000   -2.4509E-31   -1.0886E-37   -4.8553E-35
      17.70000   -2.4684E-31   -1.0932E-37   -4.8728E-35
      17.80000   -2.4860E-31   -1.0975E-37   -4.8904E-35
      17.90000   -2.5039E-31   -1.1017E-37   -4.9082E-35
      18.00000   -2.5218E-31   -1.1057E-37   -4.9261E-35
      18.10000   -2.5400E-31   -1.1095E-37   -4.9441E-35
      18.20000   -2.5584E-31   -1.1132E-37   -4.9624E-35
      18.30000   -2.5770E-31   -1.1167E-37   -4.9807E-35
      18.40000   -2.5957E-31   -1.1200E-37   -4.9993E-35
      18.50000   -2.6147E-31   -1.1232E-37   -5.0180E-35
      18.60000   -2.6339E-31   -1.1263E-37   -5.0369E-35
      18.70000   -2.6533E-31   -1.1292E-37   -5.0560E-35
      18.80000   -2.6729E-31   -1.1320E-37   -5.0753E-35
      18.90000   -2.6928E-31   -1.1346E-37   -5.0947E-35
      19.00000   -2.7129E-31   -1.1371E-37   -5.1144E-35
      19.10000   -2.7333E-31   -1.1395E-37   -5.1343E-35
      19.20000   -2.7539E-31   -1.1417E-37   -5.1544E-35
      19.30000   -2.7748E-31   -1.1438E-37   -5.1748E-35
      19.40000   -2.7959E-31   -1.1458E-37   -5.1954E-35
      19.50000   -2.8173E-31   -1.1477E-37   -5.2162E-35
      19.60000   -2.8390E-31   -1.1495E-37   -5.2373E-35
      19.70000   -2.8610E-31   -1.1512E-37   -5.2586E-35
      19.80000   -2.8833E-31   -1.1527E-37   -5.2802E-35
      19.90000   -2.9060E-31   -1.1542E-37   -5.3021E-35
      20.00000   -2.9289E-31   -1.1556E-37   -5.3242E-35
      20.10000   -2.9521E-31   -1.1569E-37   -5.3467E-35
      20.20000   -2.9757E-31   -1.1581E-37   -5.3695E-35
      20.30000   -2.9996E-31   -1.1592E-37   -5.3926E-35
      20.40000   -3.0239E-31   -1.1602E-37   -5.4160E-35
      20.50000   -3.0484E-31   -1.1611E-37   -5.4398E-35
      20.60000   -3.0734E-31   -1.1620E-37   -5.4639E-35
      20.70000   -3.0988E-31   -1.1628E-37   -5.4884E-35
      20.80000   -3.1246E-31   -1.1635E-37   -5.5134E-35
      20.90000   -3.1508E-31   -1.1642E-37   -5.5387E-35
      21.00000   -3.1769E-31   -1.1649E-37   -5.5639E-35
