           # s        inv_Ta        inv_Tb            Ha            Hb
         # (m)         (1/s)         (1/s)           (m)           (m)
      11.20000    1.2697E-02    0.0000E+00    5.5185E+00    0.0000E+00
      11.30000    1.2613E-02    0.0000E+00    5.5838E+00    0.0000E+00
      11.40000    1.2536E-02    0.0000E+00    5.6483E+00    0.0000E+00
      11.50000    1.2469E-02    0.0000E+00    5.7120E+00    0.0000E+00
      11.60000    1.2409E-02    0.0000E+00    5.7748E+00    0.0000E+00
      11.70000    1.2358E-02    0.0000E+00    5.8368E+00    0.0000E+00
      11.80000    1.2315E-02    0.0000E+00    5.8978E+00    0.0000E+00
      11.90000    1.2281E-02    0.0000E+00    5.9579E+00    0.0000E+00
      12.00000    1.2255E-02    0.0000E+00    6.0171E+00    0.0000E+00
      12.10000    1.2237E-02    0.0000E+00    6.0753E+00    0.0000E+00
      12.20000    1.2228E-02    0.0000E+00    6.1325E+00    0.0000E+00
      12.30000    1.2228E-02    0.0000E+00    6.1886E+00    0.0000E+00
      12.40000    1.2237E-02    0.0000E+00    6.2438E+00    0.0000E+00
      12.50000    1.2254E-02    0.0000E+00    6.2978E+00    0.0000E+00
      12.60000    1.2281E-02    0.0000E+00    6.3507E+00    0.0000E+00
      12.70000    1.2316E-02    0.0000E+00    6.4026E+00    0.0000E+00
      12.80000    1.2362E-02    0.0000E+00    6.4533E+00    0.0000E+00
      12.90000    1.2416E-02    0.0000E+00    6.5028E+00    0.0000E+00
      13.00000    1.2480E-02    0.0000E+00    6.5512E+00    0.0000E+00
      13.10000    1.2474E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.20000    1.2470E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.30000    1.2478E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.40000    1.2497E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.50000    1.2527E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.60000    1.2567E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.70000    1.2620E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.80000    1.2760E-02    0.0000E+00    6.5562E+00    0.0000E+00
      13.90000    1.3016E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.00000    1.3389E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.10000    1.3884E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.20000    1.4495E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.30000    1.5133E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.40000    1.5784E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.50000    1.6446E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.60000    1.7118E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.70000    1.7796E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.80000    1.8479E-02    0.0000E+00    6.5562E+00    0.0000E+00
      14.90000    1.9243E-02    0.0000E+00    6.5827E+00    0.0000E+00
      15.00000    2.0023E-02    0.0000E+00    6.6118E+00    0.0000E+00
      15.10000    2.0807E-02    0.0000E+00    6.6403E+00    0.0000E+00
      15.20000    2.1594E-02    0.0000E+00    6.6683E+00    0.0000E+00
      15.30000    2.2383E-02    0.0000E+00    6.6958E+00    0.0000E+00
      15.40000    2.3174E-02    0.0000E+00    6.7227E+00    0.0000E+00
      15.50000    2.3965E-02    0.0000E+00    6.7491E+00    0.0000E+00
      15.60000    2.4758E-02    0.0000E+00    6.7750E+00    0.0000E+00
      15.70000    2.5553E-02    0.0000E+00    6.8003E+00    0.0000E+00
      15.80000    2.6350E-02    0.0000E+00    6.8251E+00    0.0000E+00
      15.90000    2.7151E-02    0.0000E+00    6.8494E+00    0.0000E+00
      16.00000    2.7957E-02    0.0000E+00    6.8732E+00    0.0000E+00
      16.10000    2.8772E-02    0.0000E+00    6.8964E+00    0.0000E+00
      16.20000    2.9596E-02    0.0000E+00    6.9191E+00    0.0000E+00
      16.30000    3.0433E-02    0.0000E+00    6.9413E+00    0.0000E+00
      16.40000    3.1285E-02    0.0000E+00    6.9630E+00    0.0000E+00
      16.50000    3.2157E-02    0.0000E+00    6.9842E+00    0.0000E+00
      16.60000    3.3050E-02    0.0000E+00    7.0048E+00    0.0000E+00
      16.70000    3.3969E-02    0.0000E+00    7.0250E+00    0.0000E+00
      16.80000    3.4917E-02    0.0000E+00    7.0448E+00    0.0000E+00
      16.90000    3.5899E-02    0.0000E+00    7.0640E+00    0.0000E+00
      17.00000    3.6918E-02    0.0000E+00    7.0827E+00    0.0000E+00
      17.10000    3.7979E-02    0.0000E+00    7.1010E+00    0.0000E+00
      17.20000    3.9086E-02    0.0000E+00    7.1189E+00    0.0000E+00
      17.30000    4.0183E-02    0.0000E+00    7.1255E+00    0.0000E+00
      17.40000    4.1296E-02    0.0000E+00    7.1255E+00    0.0000E+00
      17.50000    4.2467E-02    0.0000E+00    7.1255E+00    0.0000E+00
      17.60000    4.3759E-02    0.0000E+00    7.1351E+00    0.0000E+00
      17.70000    4.5158E-02    0.0000E+00    7.1503E+00    0.0000E+00
      17.80000    4.6636E-02    0.0000E+00    7.1651E+00    0.0000E+00
      17.90000    4.8199E-02    0.0000E+00    7.1795E+00    0.0000E+00
      18.00000    4.9853E-02    0.0000E+00    7.1934E+00    0.0000E+00
      18.10000    5.1607E-02    0.0000E+00    7.2070E+00    0.0000E+00
      18.20000    5.3469E-02    0.0000E+00    7.2203E+00    0.0000E+00
      18.30000    5.5448E-02    0.0000E+00    7.2332E+00    0.0000E+00
      18.40000    5.7553E-02    0.0000E+00    7.2457E+00    0.0000E+00
      18.50000    5.9795E-02    0.0000E+00    7.2579E+00    0.0000E+00
      18.60000    6.2186E-02    0.0000E+00    7.2698E+00    0.0000E+00
      18.70000    6.4737E-02    0.0000E+00    7.2814E+00    0.0000E+00
      18.80000    6.7462E-02    0.0000E+00    7.2927E+00    0.0000E+00
      18.90000    7.0376E-02    0.0000E+00    7.3037E+00    0.0000E+00
      19.00000    7.3494E-02    0.0000E+00    7.3145E+00    0.0000E+00
      19.10000    7.6835E-02    0.0000E+00    7.3250E+00    0.0000E+00
      19.20000    8.0416E-02    0.0000E+00    7.3353E+00    0.0000E+00
      19.30000    8.4260E-02    0.0000E+00    7.3454E+00    0.0000E+00
      19.40000    8.8388E-02    0.0000E+00    7.3552E+00    0.0000E+00
      19.50000    9.2825E-02    0.0000E+00    7.3649E+00    0.0000E+00
      19.60000    9.7598E-02    0.0000E+00    7.3745E+00    0.0000E+00
      19.70000    1.0274E-01    0.0000E+00    7.3838E+00    0.0000E+00
      19.80000    1.0827E-01    0.0000E+00    7.3931E+00    0.0000E+00
      19.90000    1.1424E-01    0.0000E+00    7.4023E+00    0.0000E+00
      20.00000    1.2062E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.10000    1.2741E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.20000    1.3473E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.30000    1.4262E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.40000    1.5113E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.50000    1.6031E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.60000    1.7021E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.70000    1.8036E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.80000    1.8903E-01    0.0000E+00    7.4082E+00    0.0000E+00
      20.90000    1.9568E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.00000    1.9997E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.10000    2.0169E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.20000    2.0195E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.30000    2.0195E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.40000    2.0169E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.50000    2.0119E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.60000    2.0045E-01    0.0000E+00    7.4082E+00    0.0000E+00
      21.70000    1.9949E-01    0.0000E+00    7.4082E+00    0.0000E+00
