            #s         invTz         invTa         invTb
         # (m)         (1/s)         (1/s)         (1/s)
# Element-by-element rates at start of simulation at full current.
# Initial average rates:      -0.0000000     -0.0000000     -0.0000000
     261.97993       -0.000000       -0.000000       -0.000000
     264.40756       -0.000000       -0.000000       -0.000000
     265.07256       -0.000000       -0.000000       -0.000000
     265.30756       -0.000000       -0.000000       -0.000000
     265.54256       -0.000000       -0.000000       -0.000000
     266.20756       -0.000000       -0.000000       -0.000000
     268.63520       -0.000000       -0.000000       -0.000000
     268.93520       -0.000000       -0.000000       -0.000000
     271.36283       -0.000000       -0.000000       -0.000000
     272.02783       -0.000000       -0.000000       -0.000000
     272.26283       -0.000000       -0.000000       -0.000000
     272.49783       -0.000000       -0.000000       -0.000000
     273.16283       -0.000000       -0.000000       -0.000000
     275.59047       -0.000000       -0.000000       -0.000000
     275.89047       -0.000000       -0.000000       -0.000000
     278.31810       -0.000000       -0.000000       -0.000000
     278.98310       -0.000000       -0.000000       -0.000000
     279.21810       -0.000000       -0.000000       -0.000000
     279.45310       -0.000000       -0.000000       -0.000000
     280.11810       -0.000000       -0.000000       -0.000000
     282.54574       -0.000000       -0.000000       -0.000000
     282.84574       -0.000000       -0.000000       -0.000000
     285.27337       -0.000000       -0.000000       -0.000000
     285.93837       -0.000000       -0.000000       -0.000000
     286.17337       -0.000000       -0.000000       -0.000000
     286.40837       -0.000000       -0.000000       -0.000000
     287.07337       -0.000000       -0.000000       -0.000000
     289.50101       -0.000000       -0.000000       -0.000000
     289.80101       -0.000000       -0.000000       -0.000000
     292.22864       -0.000000       -0.000000       -0.000000
     292.89364       -0.000000       -0.000000       -0.000000
     293.12864       -0.000000       -0.000000       -0.000000
     293.36364       -0.000000       -0.000000       -0.000000
     294.02864       -0.000000       -0.000000       -0.000000
     296.45628       -0.000000       -0.000000       -0.000000
     296.75628       -0.000000       -0.000000       -0.000000
     299.18391       -0.000000       -0.000000       -0.000000
     299.84891       -0.000000       -0.000000       -0.000000
     300.08391       -0.000000       -0.000000       -0.000000
     300.31891       -0.000000       -0.000000       -0.000000
     300.98391       -0.000000       -0.000000       -0.000000
     303.41155       -0.000000       -0.000000       -0.000000
     303.71155       -0.000000       -0.000000       -0.000000
     306.13918       -0.000000       -0.000000       -0.000000
     306.80418       -0.000000       -0.000000       -0.000000
     307.03918       -0.000000       -0.000000       -0.000000
     307.27418       -0.000000       -0.000000       -0.000000
     307.93918       -0.000000       -0.000000       -0.000000
     310.36682       -0.000000       -0.000000       -0.000000
     310.66682       -0.000000       -0.000000       -0.000000
     313.09445       -0.000000       -0.000000       -0.000000
     313.75945       -0.000000       -0.000000       -0.000000
     313.99445       -0.000000       -0.000000       -0.000000
     314.22945       -0.000000       -0.000000       -0.000000
     314.89445       -0.000000       -0.000000       -0.000000
     317.32209       -0.000000       -0.000000       -0.000000
     317.62209       -0.000000       -0.000000       -0.000000
     320.04972       -0.000000       -0.000000       -0.000000
     320.71472       -0.000000       -0.000000       -0.000000
     320.94972       -0.000000       -0.000000       -0.000000
     321.18472       -0.000000       -0.000000       -0.000000
     323.65472       -0.000000       -0.000000       -0.000000
     323.88972       -0.000000       -0.000000       -0.000000
     324.12472       -0.000000       -0.000000       -0.000000
     326.59472       -0.000000       -0.000000       -0.000000
     326.82972       -0.000000       -0.000000       -0.000000
     327.06472       -0.000000       -0.000000       -0.000000
     329.53472       -0.000000       -0.000000       -0.000000
     329.76972       -0.000000       -0.000000       -0.000000
     330.00472       -0.000000       -0.000000       -0.000000
     332.47472       -0.000000       -0.000000       -0.000000
     332.70972       -0.000000       -0.000000       -0.000000
     332.94472       -0.000000       -0.000000       -0.000000
     335.41472       -0.000000       -0.000000       -0.000000
     335.64972       -0.000000       -0.000000       -0.000000
     335.88472       -0.000000       -0.000000       -0.000000
     338.35472       -0.000000       -0.000000       -0.000000
     338.58972       -0.000000       -0.000000       -0.000000
     338.82472       -0.000000       -0.000000       -0.000000
